date,Close,High,Low,Open,Volume,sentiment_mean,sentiment_3d,sentiment_7d,sentiment_14d
2010-01-04,23.077375411987305,23.189220239875745,22.808946687307735,22.83131622175908,38409100.0,0.0,0.0,0.0,0.0
2010-01-05,23.084835052490234,23.189224811659603,22.846232326704975,23.002816254366817,49749600.0,0.0,0.0,0.0,0.0
2010-01-06,22.94316291809082,23.174309104175542,22.756754382367983,23.02518170672357,58182400.0,0.0,0.0,0.0,0.0
2010-01-07,22.704570770263672,22.890979392606774,22.510705632364658,22.83878378371537,50559700.0,0.0,0.0,0.0,0.0
2010-01-08,22.86114501953125,23.0251840355725,22.54797859095475,22.577804642335565,51197400.0,0.0,0.0,0.0,0.0
2010-01-11,22.570344924926758,22.93570546936096,22.45850009249738,22.898422910428366,68754700.0,0.0,0.0,0.0,0.0
2010-01-12,22.421218872070312,22.667278086977902,22.301917520732346,22.480869547739296,65912100.0,0.0,0.0,0.0,0.0
2010-01-13,22.630001068115234,22.756758954762923,22.376485294819854,22.562893867996777,51863500.0,0.0,0.0,0.0,0.0
2010-01-14,23.084835052490234,23.189224811659603,22.562891945381086,22.60017308796587,63228100.0,0.0,0.0,0.0,0.0
2010-01-15,23.010278701782227,23.29361915618098,22.898432400813313,23.174317762519948,79913200.0,0.0,0.0,0.0,0.0
2010-01-19,23.18922996520996,23.293618325394064,22.876063462472903,22.928257642564954,46575700.0,0.0,0.0,0.0,0.0
2010-01-20,22.808950424194336,23.06992268014631,22.60017233499588,22.972989437160305,54849500.0,0.0,0.0,0.0,0.0
2010-01-21,22.37648582458496,22.905885502292417,22.369029310819208,22.823866695238262,73086700.0,0.0,0.0,0.0,0.0
2010-01-22,21.59357261657715,22.51816057013847,21.504097280545295,22.36903311383895,102004600.0,0.0,0.0,0.0,0.0
2010-01-25,21.861997604370117,22.115513381952955,21.697958569186635,21.80234691683207,63373000.0,0.0,0.0,0.0,0.0
2010-01-26,21.9962158203125,22.257188156854866,21.690505815906672,21.772526058810367,66639900.0,0.0,0.0,0.0,0.0
2010-01-27,22.122966766357422,22.234811611897648,21.638304820893538,21.884364049955778,63949500.0,0.0,0.0,0.0,0.0
2010-01-28,21.742692947387695,22.27209396379,21.54137137401565,22.249724426020542,117513700.0,0.0,0.0,0.0,0.0
2010-01-29,21.01197052001953,22.309373766990415,20.624240421701536,22.294460742704892,193888500.0,0.0,0.0,0.0,0.0
2010-02-01,21.1834659576416,21.235660120271604,20.818105397047326,21.168552933408954,85931100.0,0.0,0.0,0.0,0.0
2010-02-02,21.22075080871582,21.250576862399335,20.98214806798577,21.153645032296946,54413700.0,0.0,0.0,0.0,0.0
2010-02-03,21.34750747680664,21.46681026256214,20.96723526928914,21.071623606867714,61397900.0,0.0,0.0,0.0,0.0
2010-02-04,20.758455276489258,21.25057371183059,20.736085739543086,21.16109698623021,77850000.0,0.0,0.0,0.0,0.0
2010-02-05,20.89267349243164,21.086538581697926,20.557137487512193,20.877760465060874,80960100.0,0.0,0.0,0.0,0.0
2010-02-08,20.668977737426758,20.937406481479133,20.55713290146635,20.885212319509893,52820600.0,0.0,0.0,0.0,0.0
2010-02-09,20.885221481323242,21.131280797249776,20.691356350262204,20.855395420151602,59195800.0,0.0,0.0,0.0,0.0
2010-02-10,20.87030601501465,21.05671460902748,20.75846114304389,20.90013207270536,48591300.0,0.0,0.0,0.0,0.0
2010-02-11,20.96723747253418,21.17601416962966,20.654071004706374,20.825566555087544,65993700.0,0.0,0.0,0.0,0.0
2010-02-12,20.825563430786133,20.922495251012148,20.564591176383885,20.736086701036882,81117200.0,0.0,0.0,0.0,0.0
2010-02-16,21.237581253051758,21.25256401640762,20.99037137301983,21.07277371380717,51935600.0,0.0,0.0,0.0,0.0
2010-02-17,21.417369842529297,21.46231670316532,21.245072352728762,21.372422981893276,45882900.0,0.0,0.0,0.0,0.0
2010-02-18,21.702030181884766,21.746978460965874,21.35743528193725,21.417364891877455,42856500.0,0.0,0.0,0.0,0.0
2010-02-19,21.55220603942871,21.664573875124304,21.49227643180209,21.567188798544006,44451800.0,0.0,0.0,0.0,0.0
2010-02-22,21.522249221801758,21.679565398440012,21.46231958994793,21.604653001413944,36707100.0,0.0,0.0,0.0,0.0
2010-02-23,21.222604751586914,21.59716537299073,21.042815824773328,21.484797472336663,52266200.0,0.0,0.0,0.0,0.0
2010-02-24,21.44733238220215,21.567193049917144,21.26005214284754,21.36493004849381,43165900.0,0.0,0.0,0.0,0.0
2010-02-25,21.42485809326172,21.462313566845825,20.990368027046333,21.17764825263632,48735300.0,0.0,0.0,0.0,0.0
2010-02-26,21.477296829223633,21.612138823410014,21.35743759635458,21.462314067906313,40370600.0,0.0,0.0,0.0,0.0
2010-03-01,21.739498138427734,21.761970860563927,21.372428912238128,21.552217833504344,43805400.0,0.0,0.0,0.0,0.0
2010-03-02,21.319984436035156,21.949246233489387,21.155178319115244,21.784440116569474,93123900.0,0.0,0.0,0.0,0.0
2010-03-03,21.319984436035156,21.432353736808064,21.237582091992707,21.357441345904466,48442100.0,0.0,0.0,0.0,0.0
2010-03-04,21.44733238220215,21.462315144270878,21.177649809139204,21.31998176228762,42890600.0,0.0,0.0,0.0,0.0
2010-03-05,21.417369842529297,21.4847908479008,21.290019213364783,21.469808084743814,56001800.0,0.0,0.0,0.0,0.0
2010-03-08,21.44733238220215,21.672069526728578,21.34994728642508,21.36493004849381,39414500.0,0.0,0.0,0.0,0.0
2010-03-09,21.574687957763672,21.806916536666733,21.387407675391295,21.39489905814641,50271600.0,0.0,0.0,0.0,0.0
2010-03-10,21.702030181884766,21.806908070906076,21.574679582157508,21.619627861238616,44891400.0,0.0,0.0,0.0,0.0
2010-03-11,21.859355926513672,21.866847309659267,21.61214599804998,21.642110101797122,35349700.0,0.0,0.0,0.0,0.0
2010-03-12,21.926780700683594,22.00918307172507,21.754483145336753,21.96423619399013,31700200.0,0.0,0.0,0.0,0.0
2010-03-15,21.941755294799805,22.001684919063845,21.732000895458196,21.859351525623644,37512000.0,0.0,0.0,0.0,0.0
2010-03-16,22.00168800354004,22.091581738121068,21.874337355520954,22.03914348814294,36723500.0,0.0,0.0,0.0,0.0
2010-03-17,22.196456909179688,22.376247225248033,22.024159404185507,22.099071797741473,50385700.0,0.0,0.0,0.0,0.0
2010-03-18,22.181472778320312,22.263875114896322,22.09906901290942,22.19645411207557,43845200.0,0.0,0.0,0.0,0.0
2010-03-19,22.166494369506836,22.398721519926806,21.986705469617007,22.29384501886653,81332100.0,0.0,0.0,0.0,0.0
2010-03-22,22.173980712890625,22.248893094695173,22.01666456821759,22.099068331086077,37718200.0,0.0,0.0,0.0,0.0
2010-03-23,22.38372802734375,22.398710785696444,22.031641779062365,22.166483746567636,42026600.0,0.0,0.0,0.0,0.0
2010-03-24,22.21143341064453,22.361258155510008,22.173977938845493,22.263871642697048,33987700.0,0.0,0.0,0.0,0.0
2010-03-25,22.48111915588379,22.900626474279804,22.32380301846355,22.346277160619234,73168700.0,0.0,0.0,0.0,0.0
2010-03-26,22.21892738342285,22.623453384461616,22.166489145251493,22.54104962228672,55595500.0,0.0,0.0,0.0,0.0
2010-03-29,22.166494369506836,22.338791886630197,22.13652883844095,22.25638810503417,33336000.0,0.0,0.0,0.0,0.0
2010-03-30,22.301340103149414,22.368761130402856,22.099077021389085,22.19646215584661,34954800.0,0.0,0.0,0.0,0.0
2010-03-31,21.941755294799805,22.263876132197172,21.851860143986272,22.203946507933132,63760000.0,0.0,0.0,0.0,0.0
2010-04-01,21.844371795654297,22.129038622063472,21.43984713290855,21.986705208858886,74768100.0,0.0,0.0,0.0,0.0
2010-04-05,21.926780700683594,22.04663999386709,21.746991760908347,21.821902747521424,34331200.0,0.0,0.0,0.0,0.0
2010-04-06,21.9642333984375,22.1590050822795,21.709532075631447,21.836882737034472,47366800.0,0.0,0.0,0.0,0.0
2010-04-07,21.986703872680664,22.14401861284501,21.82938770368126,21.844370468125977,58318800.0,0.0,0.0,0.0,0.0
2010-04-08,22.413698196411133,22.458645051964247,21.94924259291301,21.96422535437564,63713800.0,0.0,0.0,0.0,0.0
2010-04-09,22.728334426879883,22.78077267558598,22.39872074079642,22.436177653325856,54752500.0,0.0,0.0,0.0,0.0
2010-04-12,22.713342666625977,22.84069326112074,22.630938920530966,22.66090443868717,37068800.0,0.0,0.0,0.0,0.0
2010-04-13,22.81073760986328,22.848193092579383,22.571017662440983,22.586000427061453,41374600.0,0.0,0.0,0.0,0.0
2010-04-14,23.08791160583496,23.222753629717904,22.96805234656903,23.065438887744524,68941200.0,0.0,0.0,0.0,0.0
2010-04-15,23.1253719329834,23.185301571467942,23.00551122717902,23.087915015908504,52745400.0,0.0,0.0,0.0,0.0
2010-04-16,22.975543975830078,23.207771114549526,22.923105727941984,23.0654391356633,88703100.0,0.0,0.0,0.0,0.0
2010-04-19,23.25271987915039,23.410034625996225,23.04296545452082,23.050456837061354,64970300.0,0.0,0.0,0.0,0.0
2010-04-20,23.49243927001953,23.552368903715085,23.32014032291404,23.387561339425933,52199500.0,0.0,0.0,0.0,0.0
2010-04-21,23.469966888427734,23.597317548222346,23.395054483459973,23.469966888427734,55343100.0,0.0,0.0,0.0,0.0
2010-04-22,23.514904022216797,23.619781917275237,23.14783496159899,23.25271285665743,84847600.0,0.0,0.0,0.0,0.0
2010-04-23,23.19278335571289,23.657238961976528,22.960556266998463,23.312644019292847,126766600.0,-1.0,-0.3333333333333333,-0.14285714285714285,-0.07142857142857142
2010-04-26,23.305156707763672,23.4325073455211,23.11787644216952,23.222752933675036,63649300.0,0.0,-0.3333333333333333,-0.14285714285714285,-0.07142857142857142
2010-04-27,23.110380172729492,23.410028248543906,23.035467796567204,23.185292548891777,68730900.0,0.0,-0.3333333333333333,-0.14285714285714285,-0.07142857142857142
2010-04-28,23.15533447265625,23.222755489998544,22.93809008364734,23.16282585556486,64557900.0,0.0,0.0,-0.14285714285714285,-0.07142857142857142
2010-04-29,23.22275161743164,23.544873884609608,22.97554173801238,23.170313374651034,52665200.0,0.0,0.0,-0.14285714285714285,-0.07142857142857142
2010-04-30,22.878156661987305,23.2826812702413,22.863173898650317,23.275189888572807,63214800.0,0.0,0.0,-0.14285714285714285,-0.07142857142857142
2010-05-03,23.117881774902344,23.267705164637256,22.908127314671027,22.975548340144115,43989500.0,0.0,0.0,-0.14285714285714285,-0.07142857142857142
2010-05-04,22.57101821899414,22.885649139606766,22.286352828361345,22.863176420957007,82085600.0,0.0,0.0,0.0,-0.07142857142857142
2010-05-05,22.361265182495117,22.54105407553121,22.241405920471056,22.30133555148309,66833800.0,0.0,0.0,0.0,-0.07142857142857142
2010-05-06,21.70952796936035,22.383736637390882,20.90796866401466,22.166492273050338,128613000.0,0.0,0.0,0.0,-0.07142857142857142
2010-05-07,21.13270378112793,21.687054606228944,20.46598651500872,21.67207184255919,173718100.0,0.0,0.0,0.0,-0.07142857142857142
2010-05-10,21.679563522338867,22.084088145136757,21.507264595438745,21.732001767068688,86653300.0,0.0,0.0,0.0,-0.07142857142857142
2010-05-11,21.634613037109375,22.211436528321414,21.402385935922855,21.484789700048818,63789400.0,0.0,0.0,0.0,-0.07142857142857142
2010-05-12,22.054119110107422,22.158995576093798,21.664575909537046,21.70952276226911,47146800.0,0.0,0.0,0.0,-0.07142857142857142
2010-05-13,21.904300689697266,22.271369855513633,21.859353823982126,21.919283454547347,45188800.0,0.0,0.0,0.0,0.0
2010-05-14,21.672075271606445,21.881828280831066,21.454829450526418,21.874338326646082,63334000.0,0.0,0.0,0.0,0.0
2010-05-17,21.679563522338867,21.896807883195976,21.312494380395133,21.814405539549835,46053300.0,0.0,0.0,0.0,0.0
2010-05-18,21.52154541015625,21.82254575419198,21.371044520496955,21.72472118061144,52690600.0,0.0,0.0,0.0,0.0
2010-05-19,21.250633239746094,21.58925934627363,20.91200856850066,21.461334087727906,61746700.0,0.0,0.0,0.0,0.0
2010-05-20,20.40030860900879,20.94963415717458,20.347633753058943,20.8066585229663,87991100.0,0.0,0.0,0.0,0.0
2010-05-21,20.19713592529297,20.4003116300002,19.896135678661363,20.039109898759882,117596300.0,0.0,0.0,0.0,0.0
2010-05-24,19.768205642700195,20.212181437993152,19.760680458932953,20.20465625422591,73711700.0,0.0,0.0,0.0,0.0
2010-05-25,19.617712020874023,19.81336256461292,19.09848563307782,19.30166136333928,98373600.0,0.0,0.0,0.0,0.0
2010-05-26,18.82006072998047,20.024063291822845,18.48143451608392,19.73811194780297,176684100.0,0.0,0.0,0.0,0.0
2010-05-27,19.565034866333008,19.835935808387987,19.361859159791774,19.361859159791774,136433600.0,0.0,0.0,0.0,0.0
